properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 355095152, 'osm_type': 'yes'}",chennai_bld_001447,2,2,100.0,0.35165977478027344,1.1259089708328247,0.7742491960525513,0.7742491960525513,2.554736018180847,-13.837556838989258,-16.220199584960938,-2.3826422691345215,-2.3826422691345215,2.965125560760498
"{'osm_id': 355095153, 'osm_type': 'yes'}",chennai_bld_001448,1,1,100.0,-1.327712059020996,-2.6924948692321777,-1.3647828102111816,-1.3647828102111816,0.0,-14.799789428710938,-9.017892837524414,5.781896591186523,5.781896591186523,0.0
"{'osm_id': 355095154, 'osm_type': 'yes'}",chennai_bld_001449,2,2,100.0,-2.3177528381347656,-2.190804958343506,0.126947820186615,0.126947820186615,1.0047773718833923,-14.196520805358887,-14.581509590148926,-0.38498878479003906,-0.38498878479003906,2.1091766357421875
"{'osm_id': 355095155, 'osm_type': 'yes'}",chennai_bld_001450,2,2,100.0,5.7681050300598145,7.866460800170898,2.098355531692505,2.098355531692505,0.258563756942749,-12.612786293029785,-13.329734802246094,-0.7169485092163086,-0.7169485092163086,0.6027736663818359
"{'osm_id': 355095156, 'osm_type': 'yes'}",chennai_bld_001451,5,5,100.0,-5.5300861358642575,-6.167520523071289,-0.6374341487884522,-0.43068885803222656,3.645879992528283,-11.67607421875,-10.549348449707031,1.1267257690429688,1.0727577209472656,3.3055407366739695
"{'osm_id': 355095157, 'osm_type': 'yes'}",chennai_bld_001452,1,1,100.0,4.48126745223999,3.0380825996398926,-1.4431848526000977,-1.4431848526000977,0.0,-7.184269905090332,-7.727142333984375,-0.542872428894043,-0.542872428894043,0.0
"{'osm_id': 355095158, 'osm_type': 'yes'}",chennai_bld_001453,2,2,100.0,-6.23533821105957,-5.228548049926758,1.0067899227142334,1.0067899227142334,1.4681642055511475,-16.023292541503906,-13.666524887084961,2.3567681312561035,2.3567681312561035,0.378903865814209
"{'osm_id': 355095160, 'osm_type': 'yes'}",chennai_bld_001454,1,1,100.0,5.794005870819092,1.6010326147079468,-4.1929731369018555,-4.1929731369018555,0.0,-9.939149856567383,-8.390409469604492,1.5487403869628906,1.5487403869628906,0.0
"{'osm_id': 355095162, 'osm_type': 'yes'}",chennai_bld_001455,4,4,100.0,-3.011305809020996,-2.6935646533966064,0.317741334438324,0.39862579107284546,0.9376752056456259,-12.158846855163574,-10.068968772888184,2.0898783206939697,2.023329734802246,1.2644219556283263
"{'osm_id': 355095163, 'osm_type': 'yes'}",chennai_bld_001456,4,4,100.0,-1.218222975730896,-2.6957309246063232,-1.4775079488754272,-1.9061872959136963,2.8026970559662536,-10.313262939453125,-6.893571853637695,3.4196903705596924,3.9663329124450684,2.641934379158516
"{'osm_id': 355095164, 'osm_type': 'yes'}",chennai_bld_001457,2,2,100.0,0.4349798560142517,-1.6157187223434448,-2.0506985187530518,-2.0506985187530518,0.40150207281113115,-12.634557723999023,-13.205179214477539,-0.570622444152832,-0.570622444152832,1.3104677200317383
"{'osm_id': 355095166, 'osm_type': 'yes'}",chennai_bld_001458,2,2,100.0,-2.53841495513916,-2.9339847564697266,-0.3955700397491455,-0.3955700397491455,0.48225951194763184,-13.420273780822754,-11.410968780517578,2.009305477142334,2.009305477142334,0.28511762619018555
"{'osm_id': 355095167, 'osm_type': 'yes'}",chennai_bld_001459,4,4,100.0,-0.6422841548919678,-0.7242845296859741,-0.08200043439865112,-0.6217425465583801,1.1199192493340218,-12.467830657958984,-15.599868774414062,-3.1320395469665527,-3.569577693939209,5.025823161769234
"{'osm_id': 355095168, 'osm_type': 'yes'}",chennai_bld_001460,1,1,100.0,5.110836982727051,3.8178884983062744,-1.2929484844207764,-1.2929484844207764,0.0,-12.345296859741211,-12.603569984436035,-0.2582731246948242,-0.2582731246948242,0.0
"{'osm_id': 355095169, 'osm_type': 'yes'}",chennai_bld_001461,4,4,100.0,-1.8754541873931885,-3.484494209289551,-1.6090400218963623,-1.2063677310943604,1.8313717713637327,-9.16637897491455,-11.873866081237793,-2.707486867904663,-2.044445514678955,1.676304975910406
"{'osm_id': 355095170, 'osm_type': 'yes'}",chennai_bld_001462,4,4,100.0,1.0840249061584473,1.9239470958709717,0.839922308921814,0.9404439926147461,1.7465625326664724,-12.825606346130371,-15.071903228759766,-2.2462968826293945,-2.154635429382324,1.0295103206115093
"{'osm_id': 355095171, 'osm_type': 'yes'}",chennai_bld_001463,2,2,100.0,-2.3994526863098145,-2.530733108520508,-0.1312805414199829,-0.1312805414199829,1.45791494846344,-12.27472972869873,-11.997753143310547,0.2769770622253418,0.2769770622253418,0.7130017280578613
