building_id,event_id,sample_type,qc_status,errors
TN_VARDAH_2016_082051,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_106177,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_133707,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_GAJA_2018_000001,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_000007,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006251,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_010200,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016691,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033170,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033217,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_046649,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054446,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_063623,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_000003,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006248,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006269,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_010247,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016681,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016904,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033892,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_046641,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054447,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_063621,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001089,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001093,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006765,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_011204,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_017083,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034717,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034733,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_047532,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054766,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_064266,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001094,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001097,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006764,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_011220,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_017079,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_020419,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034730,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_047530,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054774,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_064278,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002172,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002173,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_007816,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_012082,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_019847,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_036106,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_048489,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_048482,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_055295,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_065040,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002185,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002191,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_008573,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_012095,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_019852,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_036108,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_037699,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_048505,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_055331,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_065039,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_003844,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_003846,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_008575,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_013554,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_023542,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_037691,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_037708,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_049295,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_056050,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_066025,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_005634,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_005643,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_009842,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_014523,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_028483,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_042652,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_042656,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_052775,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_061038,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_068999,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_069438,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_069641,TN_GAJA_2018,SAR_ONLY,PASS,none
