properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 1067561611, 'osm_type': 'retail'}",cuddalore_bld_000196,10,10,100.0,-1.7591987609863282,2.1175186157226564,3.876717376708984,5.162646770477295,4.32517859225635,-7.253892517089843,-2.9901147842407227,4.263777160644532,3.9154253005981445,4.671562075976969
"{'osm_id': 1067561619, 'osm_type': 'yes'}",cuddalore_bld_000197,11,11,100.0,-5.2414419000799,1.6811897971413352,6.922631003639915,6.790570259094238,1.6451574711900336,-8.55376503684304,-6.386394153941762,2.1673707095059482,3.348062515258789,2.5017534781353485
"{'osm_id': 1067561620, 'osm_type': 'yes'}",cuddalore_bld_000198,8,8,100.0,-2.7090706825256348,-1.7183964252471924,0.9906741380691528,0.5315364003181458,1.5349268206726712,-13.55375862121582,-11.873258590698242,1.6805003881454468,1.4170398712158203,3.2545597243768163
"{'osm_id': 1067561621, 'osm_type': 'yes'}",cuddalore_bld_000199,8,8,100.0,-6.213731288909912,-5.67592191696167,0.5378093123435974,0.8501980304718018,1.667069671468241,-15.487525939941406,-12.645553588867188,2.841973066329956,2.9674501419067383,1.7162524853685333
"{'osm_id': 1067561622, 'osm_type': 'yes'}",cuddalore_bld_000200,5,5,100.0,-5.903728866577149,-5.549634170532227,0.3540949821472168,0.0967721939086914,1.3101988861066802,-12.54372329711914,-11.969263458251953,0.5744596481323242,0.7563161849975586,1.6704527313738584
"{'osm_id': 1067561630, 'osm_type': 'yes'}",cuddalore_bld_000201,7,7,100.0,-8.723216465541295,-4.596044267926898,4.127172197614398,4.430326461791992,3.6014073836799767,-13.447452000209264,-10.139694213867188,3.3077575138636996,2.667631149291992,1.3706126353955617
"{'osm_id': 1111488551, 'osm_type': 'yes'}",cuddalore_bld_000202,10,10,100.0,-2.825948715209961,-0.4755359649658203,2.350413131713867,2.653805732727051,2.964521921586594,-13.634164428710937,-11.546261596679688,2.087902069091797,1.2341499328613281,5.323007776514852
"{'osm_id': 1111488552, 'osm_type': 'yes'}",cuddalore_bld_000203,7,7,100.0,-7.063799176897321,-3.852757590157645,3.2110421316964284,3.2069923877716064,1.195563224627556,-17.51721409388951,-14.655602591378349,2.8616104125976562,1.2829704284667969,3.5522859768471324
"{'osm_id': 1111488553, 'osm_type': 'yes'}",cuddalore_bld_000204,6,6,100.0,-4.125616709391276,-1.8013022740681965,2.3243139584859214,2.539548873901367,3.467853672483522,-15.562431335449219,-13.356829325358072,2.205601374308268,1.4173312187194824,1.792647624507503
"{'osm_id': 1111488554, 'osm_type': 'yes'}",cuddalore_bld_000205,6,6,100.0,-5.439200083414714,-3.6157188415527344,1.8234812418619792,2.1128621101379395,3.135166179984402,-14.722237904866537,-13.408580780029297,1.313657283782959,1.3851275444030762,1.1518282737102656
"{'osm_id': 1111488555, 'osm_type': 'yes'}",cuddalore_bld_000206,4,4,100.0,-10.307669639587402,-3.926408290863037,6.381260871887207,6.203402996063232,1.6112460452177937,-14.108476638793945,-12.631608009338379,1.4768691062927246,1.6368803977966309,1.0592833606556153
"{'osm_id': 1111488556, 'osm_type': 'yes'}",cuddalore_bld_000207,4,4,100.0,3.5406241416931152,4.919915199279785,1.37929105758667,0.6983349323272705,1.9292502409637349,-16.839115142822266,-14.255744934082031,2.5833685398101807,2.143986701965332,2.0843459382278935
"{'osm_id': 1111488557, 'osm_type': 'yes'}",cuddalore_bld_000208,6,6,100.0,2.9302679697672525,4.180064519246419,1.2497961521148682,0.8315863609313965,2.1552840655436056,-13.948479970296225,-12.26071802775065,1.6877613067626953,1.6770210266113281,1.0462802221539045
"{'osm_id': 1111488558, 'osm_type': 'yes'}",cuddalore_bld_000209,5,5,100.0,-9.360456848144532,-6.545580291748047,2.814876747131348,2.290621280670166,2.329795531749486,-17.454513549804688,-14.415481567382812,3.0390321731567385,1.7370367050170898,2.0362110579840533
"{'osm_id': 1111488559, 'osm_type': 'yes'}",cuddalore_bld_000210,6,6,100.0,-8.829786936442057,-6.711584091186523,2.1182034810384116,2.421844720840454,1.7848845340330561,-18.050591786702473,-14.798009236653646,3.2525831858317056,2.643575668334961,4.1074549191887995
"{'osm_id': 1111488560, 'osm_type': 'yes'}",cuddalore_bld_000211,24,24,100.0,-6.81808598836263,-3.9195610682169595,2.8985255559285483,3.020656108856201,1.7009078095639056,-17.212313334147137,-14.505332946777344,2.706979751586914,2.926997184753418,3.287217110232524
"{'osm_id': 1111488561, 'osm_type': 'yes'}",cuddalore_bld_000212,8,8,100.0,-5.5382161140441895,-4.930041313171387,0.6081749200820923,0.32127273082733154,1.6603942818460546,-19.563791275024414,-15.54029369354248,4.023497581481934,4.169849395751953,2.4961321482605667
